vendor_sku,upc,category,name,price,weight,Volume ,VolumeUnit ,Height ,Length ,Width ,ingredients ,NutritionFacts ,Serving ,Kosher ,Halal ,Organic ,Vegeratian ,FatFree ,SugarFree ,NoMSG ,LowCarb ,HeatSensitive ,AllNatural ,NoPreservatives ,FairTrade
41080,689951410801,Oolong Teas ,Ali Shan - Can ,$12.50,0.4375,,,,,,Oolong Tea Leaves. ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
41075,689951410757,Oolong Teas ,Bamboo Mountain Oolong - Can ,$7.50,0.375,,,,,,Oolong Tea Leaves. ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
41030,689951410306,Oolong Teas ,Black Dragon - Can ,$5.50,0.4375,,,,,,Oolong Tea Leaves ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
41010,689951410108,Oolong Teas ,Frozen Summit - Can ,$13.50,0.4375,,,,,,Oolong Tea Leaves. ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
41020,689951410207,Oolong Teas ,Green Dragon - Can ,$5.50,0.4375,,,,,,Oolong Tea Leaves. ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
41065,689951410658,Oolong Teas ,Kali Cha - Can ,$6.25,0.4062,,,,,,100% Organic Oolong Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
40975,689951409751,Oolong Teas ,Osmanthus - Can ,$4.95,0.4063,,,,,,"Oolong Tea Leaves, Osmanthus Flowers. ",,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
41000,689951410009,Oolong Teas ,Royal Phoenix - Can ,$6.00,0.4062,,,,,,Oolong Tea Leaves. ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
41085,689951410856,Oolong Teas ,Shan Lin Xi Oolong - Can ,$11.50,0.375,,,,,,Oolong Tea Leaves. ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
40980,689951409805,Oolong Teas ,Strong Fire Oolong 'Dark Tieguanyin' - Can ,$10.00,0.468,,,,,,Oolong Tea Leaves. ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
41045,689951410450,Oolong Teas ,Wenshan Baozhong - Can ,$7.75,0.375,,,,,,Oolong Tea Leaves. ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
41050,689951410504,Oolong Teas ,Wuyi Oolong - Can ,$6.00,0.4062,,,,,,100% Organic Oolong Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
61085,689951610850,"Pu-er ""Leaf"" Selections ",Ginger Puer - Can ,$5.75,0,,,,,,"100% Organic Puer tea Leaves, 100% Organic Dried Ginger Root ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
61000,689951610003,"Pu-er ""Leaf"" Selections ","Golden Pu-er, China - Can ",$5.75,0.4688,,,,,,Pu-er Leaves. ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
80610,689951806109,"Pu-er ""Leaf"" Selections ",Green Leaf Pu-er - lb. ,$20.00,1,,,,,,Green Pu-er Leaves. ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
61075,689951610751,"Pu-er ""Leaf"" Selections ",Orange Pu-er - Can ,$5.75,0.468,,,,,,"100% Organic Puer Tea Leaves, Natural Orange Essence. ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
61080,689951610805,"Pu-er ""Leaf"" Selections ",Puer Velour - Can ,$5.50,0.4375,,,,,,Puer Tea Leaves. ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
61005,689951610058,"Pu-er ""Leaf"" Selections ",Topaz Pu-er - Can ,$5.75,0.4688,,,,,,Organic Pu-er Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
61030,689951610300,"Pu-er - Tuo Cha ""Small Bowl"" Selections ",Green Tuocha - Can ,$5.75,0.4375,,,,,,100% Organic Pu-er Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
80600,689951806000,"Pu-er - Tuo Cha ""Small Bowl"" Selections ",Pu-er Tuocha - lb. ,$20.00,1,,,,,,100% Organic Pu-er Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
80680,689951806802,Pu-er - Zhuan Cha ,2002 Tibetan Pu-er Brick - ea. ,$20.00,0,,,,,,Compressed Pu-er Tea Leaves. ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
80655,689951806550,Pu-er - Zhuan Cha ,2003 Cha Ma - Puer Brick - ea. ,$15.00,0,,,,,,Compressed Green Pu-er Tea Leaves. ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
81200,689951812001,Bing Cha Selections ,2005 Dian Hong Black - ea. ,$16.00,0,,,,,,100% Organic Black Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
81250,689951812506,Bing Cha Selections ,2005 Tea Flower - ea. ,$12.00,0,,,,,,100% Organic Tea Flowers. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
81215,689951812155,Bing Cha Selections ,2005 Yunnan Jin (Gold) - ea. ,$24.00,0.5,,,,,,100% Organic Black Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
81265,689951812650,Bing Cha Selections ,2006 Tender Leaf - ea. ,$26.00,0,,,,,,100% Organic Pu-er Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
81230,689951812308,Old Growth Teas ,2005 Banzhang Bing Cha - ea. ,$55.00,0.9,,,,,,Compressed Puer Tea Cake. ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
80675,689951806758,Pu-er - Zhuan Cha ,2003 Menghai Puer Brick - ea. ,$15.00,0,,,,,,,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
12025,689951120250,Fair Trade Certified Teas ,Darjeeling Bergamot - Can ,$7.00,0.468,,,,,,"Organic Black Tea Leaves, Natural Bergamot Essence. ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
12020,689951120205,Fair Trade Certified Teas ,Mandarin Green - Can ,$6.25,0.3125,,,,,,"100% Organic Green Tea Leaves, Organic Natural Mandarin Orange Essence ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
